id,user_id,watched_video_id,watch_time_in_sec
1,1,9195,74
2,1,7331,143
3,2,8403,192
4,2,6903,202
5,1,1758,92
6,2,8615,203
7,1,5730,119
8,1,119,38
9,2,150,148
10,2,3726,284
11,1,3162,297
12,1,258,221
13,2,7378,88
14,1,8549,158
15,2,3249,117
16,2,4154,283
17,1,8609,288
18,1,9838,94
19,1,1605,90
20,2,2673,246
21,2,2250,63
22,2,169,100
23,1,313,65
24,2,7613,86
25,2,5048,27
26,1,9238,245
27,2,7258,173
28,1,7287,88
29,1,8551,175
30,1,6276,76
31,1,3283,191
32,2,4712,170
33,1,2731,291
34,1,425,115
35,1,5316,260
36,2,1781,292
37,1,2672,109
38,2,6297,219
39,1,7701,90
40,2,1746,278
41,1,8438,108
42,1,8180,166
43,2,3489,137
44,2,1031,5
45,2,3855,44
46,2,7838,100
47,2,7459,200
48,1,9745,55
49,1,7916,122
50,2,7020,29
51,2,926,123
52,2,5411,263
53,2,698,46
54,2,3149,207
55,1,4735,238
56,1,5113,274
57,1,4120,150
58,2,8154,141
59,2,326,99
60,2,2916,159
61,2,5825,17
62,2,7354,110
63,2,2952,191
64,2,8216,210
65,1,4160,68
66,1,4255,185
67,1,7727,46
68,1,9045,244
69,1,5329,43
70,2,2512,272
71,2,3388,41
72,1,1290,9
73,1,9103,244
74,2,6640,138
75,2,6539,159
76,1,3062,194
77,2,2429,58
78,1,9374,134
79,2,8498,292
80,2,298,286
81,2,9635,298
82,1,8209,6
83,2,9358,292
84,1,2950,232
85,2,4155,272
86,1,2936,61
87,1,6857,32
88,1,7789,113
89,2,7423,168
90,1,3153,57
91,1,8206,219
92,2,8438,124
93,1,2225,224
94,2,1849,7
95,1,10048,165
96,2,2233,51
97,1,1397,220
98,1,8964,273
99,2,862,154
100,1,5629,17
101,2,4994,188
102,2,5385,287
103,1,5925,113
104,2,9527,152
105,1,5988,266
106,1,4489,254
107,1,4618,43
108,1,159,198
109,1,1043,94
110,1,6748,196
111,1,9461,18
112,1,2974,83
113,2,1062,136
114,2,5870,199
115,2,8322,114
116,2,6907,196
117,2,1378,0
118,2,7086,87
119,1,6139,111
120,2,8157,280
121,2,7911,8
122,1,7585,208
123,2,7480,277
124,2,6711,93
125,1,3494,46
126,1,6639,233
127,2,4268,264
128,1,1443,98
129,2,2947,245
130,1,5358,149
131,2,8873,124
132,1,1957,261
133,1,7763,119
134,2,8696,274
135,1,2676,52
136,2,3922,221
137,1,8345,39
138,2,9601,291
139,2,4840,265
140,2,1585,127
141,1,3969,147
142,1,5155,233
143,1,9505,18
144,2,5455,184
145,2,7502,155
146,2,9312,197
147,2,5513,57
148,2,2794,145
149,1,7177,58
150,1,6732,69
151,1,4610,85
152,1,8928,8
153,2,803,233
154,2,7826,291
155,2,896,162
156,2,1053,161
157,2,9506,182
158,1,1850,132
159,2,3835,115
160,1,5768,72
161,1,7035,174
162,2,3226,12
163,1,8023,47
164,1,5281,120
165,1,8222,101
166,2,8227,283
167,2,1415,238
168,2,5852,99
169,1,2085,47
170,1,5199,140
171,2,8837,289
172,2,1288,264
173,2,9027,3
174,2,6605,149
175,2,8539,112
176,1,6785,202
177,2,7556,103
178,1,5243,35
179,2,4083,129
180,2,3827,237
181,2,9257,142
182,2,352,215
183,1,3442,277
184,2,4068,8
185,1,1808,69
186,2,239,296
187,2,4284,130
188,2,1557,48
189,1,9779,211
190,1,5972,132
191,2,7980,213
192,2,1742,127
193,1,3738,224
194,1,6365,116
195,1,5641,254
196,2,7782,1
197,2,6047,12
198,1,2148,98
199,2,9273,37
200,1,4657,213
201,2,6526,224
202,2,6800,273
203,1,8829,23
204,2,6297,231
205,1,4617,169
206,2,2089,220
207,1,7530,13
208,1,1943,211
209,2,1772,275
210,2,1103,294
211,2,3922,273
212,1,4281,25
213,1,7388,195
214,2,2140,48
215,1,5713,104
216,2,7212,5
217,1,3483,72
218,2,1665,203
219,1,7438,92
220,1,10000,284
221,2,6513,155
222,1,9832,128
223,2,9211,151
224,1,8461,58
225,1,6656,222
226,1,8553,254
227,1,1139,271
228,1,691,27
229,2,1922,259
230,1,2255,44
231,1,6405,145
232,1,3963,69
233,1,2303,16
234,1,9678,239
235,1,4982,249
236,1,8531,96
237,1,7158,252
238,1,3050,280
239,2,5209,135
240,2,3343,269
241,2,5428,245
242,1,7108,89
243,2,8158,280
244,2,4167,84
245,1,876,208
246,2,3127,38
247,1,3855,15
248,2,8907,78
249,1,9244,41
250,1,859,299
251,2,8761,72
252,1,5628,273
253,2,10047,181
254,2,7568,284
255,2,5950,254
256,1,9692,97
257,2,2989,27
258,2,3323,251
259,2,2084,130
260,1,3373,26
261,1,1269,143
262,1,2475,277
263,2,4412,157
264,2,3119,287
265,1,3956,254
266,2,735,201
267,2,7160,82
268,2,8630,47
269,2,8966,263
270,1,6257,2
271,2,5039,86
272,2,2380,91
273,1,2696,277
274,2,8846,58
275,1,4888,44
276,2,415,266
277,1,1467,163
278,1,9213,168
279,1,8806,87
280,1,5946,151
281,1,9810,130
282,2,5945,298
283,2,3551,59
284,2,6204,11
285,1,8402,44
286,1,1733,229
287,1,498,3
288,2,8327,144
289,1,8861,288
290,2,5986,71
291,2,1941,167
292,1,9839,228
293,2,2824,156
294,2,2423,270
295,1,7897,228
296,1,6047,226
297,2,3054,125
298,1,3234,236
299,2,7772,62
300,1,2759,294
301,1,8434,109
302,2,8805,221
303,2,3223,151
304,1,1556,205
305,2,8735,67
306,1,1493,17
307,1,7307,64
308,1,6730,289
309,1,5020,39
310,2,1328,111
311,2,5599,234
312,2,3866,222
313,2,7371,248
314,2,6556,204
315,2,6509,110
316,2,6860,63
317,2,8640,278
318,2,108,218
319,1,6524,168
320,1,9033,113
321,1,3349,80
322,1,1232,241
323,2,774,285
324,2,6300,158
325,2,5184,10
326,1,2075,71
327,2,2366,38
328,1,7738,184
329,1,2316,282
330,1,279,251
331,1,3049,111
332,2,1979,260
333,2,7342,262
334,2,217,72
335,2,9249,36
336,1,3969,137
337,1,8346,22
338,1,7270,240
339,2,2794,277
340,1,1497,278
341,2,1647,54
342,1,9548,174
343,1,8064,110
344,2,5919,104
345,1,1493,107
346,2,837,261
347,1,2185,191
348,1,1226,84
349,1,6891,141
350,1,3478,60
351,2,7759,159
352,2,1218,58
353,2,4753,158
354,2,6475,160
355,1,2672,128
356,2,7439,171
357,2,3686,117
358,2,9354,134
359,2,234,269
360,2,5383,22
361,2,4958,181
362,2,187,40
363,2,1968,26
364,1,3371,82
365,2,8696,165
366,2,1165,283
367,2,6097,216
368,2,308,94
369,2,6367,62
370,2,9432,198
371,1,2273,69
372,1,6864,157
373,1,488,16
374,2,8079,47
375,2,3074,292
376,2,6027,289
377,1,2327,109
378,2,2541,134
379,2,1520,126
380,2,5560,219
381,2,9012,92
382,1,5092,271
383,2,7772,89
384,1,6990,104
385,2,4837,112
386,1,5043,131
387,2,3176,8
388,1,8557,294
389,1,9545,192
390,2,8078,142
391,2,275,192
392,1,8758,81
393,2,319,245
394,2,5330,200
395,2,913,121
396,2,2257,6
397,1,6405,210
398,1,6205,15
399,2,6119,91
400,1,5988,270
401,1,3318,220
402,1,8205,198
403,2,3556,122
404,2,6712,188
405,2,7721,170
406,1,5065,101
407,2,3324,253
408,2,6686,246
409,1,9411,58
410,2,8724,247
411,2,6163,12
412,2,430,172
413,2,5043,79
414,2,4376,141
415,2,2602,173
416,2,851,141
417,2,3654,278
418,2,8838,187
419,1,641,80
420,1,3015,10
421,2,6705,70
422,2,5316,211
423,1,1693,281
424,2,10037,212
425,2,9203,69
426,1,5017,62
427,1,1070,125
428,2,948,137
429,2,5018,210
430,1,234,169
431,2,535,22
432,2,8330,280
433,2,7968,134
434,1,2252,167
435,1,2827,197
436,1,342,4
437,2,6181,135
438,2,4146,90
439,1,6311,124
440,2,8256,162
441,2,188,78
442,2,3894,157
443,2,4752,81
444,1,4679,49
445,1,5067,115
446,2,5340,28
447,2,6781,184
448,1,9950,27
449,1,2912,42
450,1,684,40
451,2,2465,28
452,2,8803,99
453,1,3431,132
454,1,1079,77
455,1,2858,157
456,1,2051,243
