video_id,detected_objects_withconfidence
46,Shirt:20|Trousers:20|Footwear:20|Handbag:20|Watch:20|Guitar:20|Mobile_phone:20|Headphones:20|Hat:20|Sunglasses:20
47,Shirt:0|Trousers:0|Footwear:0|Handbag:0|Watch:0|Guitar:0|Mobile_phone:0|Headphones:0|Hat:0|Sunglasses:0
48,Shirt:8|Trousers:10|Footwear:7|Handbag:2|Watch:9|Guitar:5|Mobile_phone:3|Headphones:4|Hat:6|Sunglasses:1
49,Shirt:8|Trousers:10|Footwear:7|Handbag:2|Watch:9|Guitar:5|Mobile_phone:3|Headphones:4|Hat:6|Sunglasses:1
50,Shirt:9|Trousers:5|Footwear:3|Handbag:10|Watch:6|Guitar:1|Mobile_phone:4|Headphones:2|Hat:7|Sunglasses:8
51,Shirt:8|Trousers:5|Footwear:2|Handbag:7|Watch:3|Guitar:1|Mobile_phone:9|Headphones:10|Hat:4|Sunglasses:6
52,Shirt:3|Trousers:9|Footwear:4|Handbag:6|Watch:10|Guitar:1|Mobile_phone:5|Headphones:7|Hat:8|Sunglasses:2
53,Shirt:10|Trousers:6|Footwear:5|Handbag:2|Watch:8|Guitar:9|Mobile_phone:4|Headphones:1|Hat:3|Sunglasses:7
54,Shirt:8|Trousers:6|Footwear:7|Handbag:5|Watch:1|Guitar:9|Mobile_phone:3|Headphones:4|Hat:2|Sunglasses:10
55,Shirt:5|Trousers:1|Footwear:10|Handbag:4|Watch:9|Guitar:2|Mobile_phone:6|Headphones:8|Hat:7|Sunglasses:3
56,Shirt:8|Trousers:4|Footwear:5|Handbag:6|Watch:1|Guitar:10|Mobile_phone:2|Headphones:9|Hat:3|Sunglasses:7
57,Shirt:4|Trousers:8|Footwear:9|Handbag:10|Watch:7|Guitar:2|Mobile_phone:5|Headphones:3|Hat:6|Sunglasses:1
58,Shirt:5|Trousers:3|Footwear:6|Handbag:1|Watch:9|Guitar:10|Mobile_phone:8|Headphones:4|Hat:7|Sunglasses:2
59,Shirt:3|Trousers:5|Footwear:6|Handbag:8|Watch:9|Guitar:1|Mobile_phone:2|Headphones:4|Hat:10|Sunglasses:7
60,Shirt:5|Trousers:10|Footwear:8|Handbag:7|Watch:9|Guitar:4|Mobile_phone:2|Headphones:1|Hat:3|Sunglasses:6
61,Shirt:7|Trousers:4|Footwear:1|Handbag:2|Watch:9|Guitar:3|Mobile_phone:6|Headphones:8|Hat:10|Sunglasses:5
62,Shirt:10|Trousers:7|Footwear:6|Handbag:8|Watch:1|Guitar:4|Mobile_phone:5|Headphones:3|Hat:9|Sunglasses:2
63,Shirt:2|Trousers:9|Footwear:4|Handbag:6|Watch:5|Guitar:3|Mobile_phone:7|Headphones:10|Hat:1|Sunglasses:8
64,Shirt:2|Trousers:7|Footwear:4|Handbag:1|Watch:10|Guitar:6|Mobile_phone:5|Headphones:9|Hat:8|Sunglasses:3
65,Shirt:1|Trousers:3|Footwear:9|Handbag:4|Watch:8|Guitar:5|Mobile_phone:6|Headphones:2|Hat:10|Sunglasses:7
66,Shirt:5|Trousers:6|Footwear:2|Handbag:10|Watch:7|Guitar:8|Mobile_phone:3|Headphones:1|Hat:4|Sunglasses:9
67,Shirt:4|Trousers:3|Footwear:1|Handbag:10|Watch:7|Guitar:9|Mobile_phone:6|Headphones:8|Hat:2|Sunglasses:5
68,Shirt:5|Trousers:6|Footwear:7|Handbag:9|Watch:8|Guitar:4|Mobile_phone:2|Headphones:3|Hat:10|Sunglasses:1
69,Shirt:6|Trousers:1|Footwear:5|Handbag:2|Watch:10|Guitar:4|Mobile_phone:9|Headphones:3|Hat:8|Sunglasses:7
70,Shirt:6|Trousers:5|Footwear:9|Handbag:10|Watch:4|Guitar:2|Mobile_phone:8|Headphones:3|Hat:7|Sunglasses:1
71,Shirt:7|Trousers:8|Footwear:6|Handbag:4|Watch:2|Guitar:10|Mobile_phone:3|Headphones:9|Hat:1|Sunglasses:5
72,Shirt:7|Trousers:6|Footwear:1|Handbag:4|Watch:9|Guitar:5|Mobile_phone:2|Headphones:3|Hat:10|Sunglasses:8
73,Shirt:7|Trousers:4|Footwear:8|Handbag:10|Watch:9|Guitar:1|Mobile_phone:2|Headphones:6|Hat:3|Sunglasses:5
74,Shirt:7|Trousers:1|Footwear:3|Handbag:5|Watch:6|Guitar:9|Mobile_phone:10|Headphones:4|Hat:8|Sunglasses:2
75,Shirt:7|Trousers:9|Footwear:6|Handbag:3|Watch:4|Guitar:5|Mobile_phone:1|Headphones:2|Hat:10|Sunglasses:8
76,Shirt:6|Trousers:7|Footwear:1|Handbag:8|Watch:5|Guitar:9|Mobile_phone:4|Headphones:10|Hat:2|Sunglasses:3
77,Shirt:8|Trousers:7|Footwear:5|Handbag:3|Watch:6|Guitar:1|Mobile_phone:2|Headphones:9|Hat:4|Sunglasses:10
78,Shirt:1|Trousers:4|Footwear:9|Handbag:2|Watch:8|Guitar:3|Mobile_phone:10|Headphones:7|Hat:5|Sunglasses:6
79,Shirt:6|Trousers:4|Footwear:3|Handbag:9|Watch:2|Guitar:7|Mobile_phone:5|Headphones:8|Hat:1|Sunglasses:10
80,Shirt:3|Trousers:6|Footwear:4|Handbag:10|Watch:2|Guitar:9|Mobile_phone:8|Headphones:1|Hat:7|Sunglasses:5
81,Shirt:6|Trousers:3|Footwear:9|Handbag:5|Watch:10|Guitar:8|Mobile_phone:2|Headphones:7|Hat:4|Sunglasses:1
82,Shirt:9|Trousers:3|Footwear:4|Handbag:8|Watch:6|Guitar:5|Mobile_phone:7|Headphones:1|Hat:2|Sunglasses:10
83,Shirt:9|Trousers:3|Footwear:1|Handbag:6|Watch:10|Guitar:2|Mobile_phone:8|Headphones:5|Hat:4|Sunglasses:7
84,Shirt:3|Trousers:8|Footwear:2|Handbag:6|Watch:10|Guitar:5|Mobile_phone:4|Headphones:1|Hat:9|Sunglasses:7
85,Shirt:2|Trousers:4|Footwear:3|Handbag:1|Watch:8|Guitar:5|Mobile_phone:10|Headphones:7|Hat:6|Sunglasses:9
86,Shirt:5|Trousers:8|Footwear:2|Handbag:4|Watch:3|Guitar:1|Mobile_phone:6|Headphones:9|Hat:7|Sunglasses:10
87,Shirt:2|Trousers:9|Footwear:8|Handbag:1|Watch:4|Guitar:10|Mobile_phone:7|Headphones:3|Hat:6|Sunglasses:5
88,Shirt:9|Trousers:5|Footwear:4|Handbag:8|Watch:2|Guitar:6|Mobile_phone:1|Headphones:3|Hat:10|Sunglasses:7
89,Shirt:1|Trousers:6|Footwear:7|Handbag:8|Watch:9|Guitar:4|Mobile_phone:2|Headphones:5|Hat:10|Sunglasses:3
90,Shirt:5|Trousers:2|Footwear:7|Handbag:6|Watch:9|Guitar:10|Mobile_phone:8|Headphones:1|Hat:3|Sunglasses:4
91,Shirt:10|Trousers:2|Footwear:9|Handbag:4|Watch:1|Guitar:3|Mobile_phone:6|Headphones:8|Hat:5|Sunglasses:7
92,Shirt:8|Trousers:7|Footwear:2|Handbag:4|Watch:5|Guitar:9|Mobile_phone:6|Headphones:10|Hat:1|Sunglasses:3
93,Shirt:9|Trousers:5|Footwear:7|Handbag:4|Watch:8|Guitar:2|Mobile_phone:3|Headphones:6|Hat:1|Sunglasses:10
94,Shirt:6|Trousers:10|Footwear:3|Handbag:9|Watch:2|Guitar:1|Mobile_phone:4|Headphones:8|Hat:5|Sunglasses:7
95,Shirt:6|Trousers:9|Footwear:5|Handbag:2|Watch:7|Guitar:10|Mobile_phone:8|Headphones:4|Hat:1|Sunglasses:3
96,Shirt:9|Trousers:8|Footwear:6|Handbag:4|Watch:10|Guitar:5|Mobile_phone:1|Headphones:3|Hat:7|Sunglasses:2
97,Shirt:4|Trousers:7|Footwear:5|Handbag:6|Watch:3|Guitar:2|Mobile_phone:8|Headphones:10|Hat:1|Sunglasses:9
98,Shirt:5|Trousers:6|Footwear:2|Handbag:9|Watch:10|Guitar:4|Mobile_phone:3|Headphones:8|Hat:1|Sunglasses:7
99,Shirt:8|Trousers:9|Footwear:4|Handbag:3|Watch:7|Guitar:2|Mobile_phone:1|Headphones:5|Hat:10|Sunglasses:6
100,Shirt:8|Trousers:5|Footwear:1|Handbag:7|Watch:4|Guitar:2|Mobile_phone:9|Headphones:3|Hat:10|Sunglasses:6
101,Shirt:10|Trousers:7|Footwear:9|Handbag:2|Watch:3|Guitar:5|Mobile_phone:6|Headphones:1|Hat:4|Sunglasses:8
102,Shirt:5|Trousers:8|Footwear:10|Handbag:9|Watch:2|Guitar:3|Mobile_phone:6|Headphones:7|Hat:1|Sunglasses:4
103,Shirt:10|Trousers:2|Footwear:3|Handbag:8|Watch:5|Guitar:4|Mobile_phone:9|Headphones:1|Hat:6|Sunglasses:7
104,Shirt:5|Trousers:8|Footwear:1|Handbag:3|Watch:6|Guitar:2|Mobile_phone:7|Headphones:10|Hat:4|Sunglasses:9
105,Shirt:6|Trousers:3|Footwear:9|Handbag:2|Watch:5|Guitar:8|Mobile_phone:7|Headphones:4|Hat:10|Sunglasses:1
106,Shirt:9|Trousers:4|Footwear:5|Handbag:3|Watch:6|Guitar:1|Mobile_phone:8|Headphones:10|Hat:7|Sunglasses:2
107,Shirt:3|Trousers:4|Footwear:7|Handbag:1|Watch:2|Guitar:5|Mobile_phone:6|Headphones:9|Hat:10|Sunglasses:8
108,Shirt:3|Trousers:8|Footwear:7|Handbag:2|Watch:4|Guitar:10|Mobile_phone:9|Headphones:1|Hat:5|Sunglasses:6
109,Shirt:9|Trousers:10|Footwear:3|Handbag:7|Watch:1|Guitar:6|Mobile_phone:5|Headphones:4|Hat:2|Sunglasses:8
110,Shirt:5|Trousers:9|Footwear:10|Handbag:4|Watch:3|Guitar:8|Mobile_phone:6|Headphones:7|Hat:1|Sunglasses:2
111,Shirt:2|Trousers:7|Footwear:4|Handbag:8|Watch:3|Guitar:10|Mobile_phone:6|Headphones:1|Hat:9|Sunglasses:5
112,Shirt:10|Trousers:9|Footwear:3|Handbag:5|Watch:7|Guitar:1|Mobile_phone:2|Headphones:8|Hat:6|Sunglasses:4
113,Shirt:9|Trousers:8|Footwear:3|Handbag:5|Watch:4|Guitar:1|Mobile_phone:7|Headphones:2|Hat:6|Sunglasses:10
114,Shirt:2|Trousers:5|Footwear:10|Handbag:3|Watch:4|Guitar:7|Mobile_phone:8|Headphones:6|Hat:9|Sunglasses:1
115,Shirt:5|Trousers:8|Footwear:1|Handbag:2|Watch:7|Guitar:10|Mobile_phone:3|Headphones:4|Hat:9|Sunglasses:6
116,Shirt:4|Trousers:6|Footwear:5|Handbag:9|Watch:2|Guitar:3|Mobile_phone:8|Headphones:10|Hat:7|Sunglasses:1
